student_id,cluster,risk_category,mentor_id,mentor_name,assignment_status
S062,2,Red,M003,Mr. Iyer,Assigned
S063,2,Yellow,M003,Mr. Iyer,Assigned
S064,2,Yellow,M003,Mr. Iyer,Assigned
S065,2,Yellow,,Pending Assignment,Pending
S066,2,Red,,Pending Assignment,Pending
S067,2,Red,,Pending Assignment,Pending
S068,2,Red,,Pending Assignment,Pending
S069,2,Red,,Pending Assignment,Pending
S070,2,Red,,Pending Assignment,Pending
S071,2,Red,,Pending Assignment,Pending
S072,2,Red,,Pending Assignment,Pending
S073,2,Red,,Pending Assignment,Pending
S074,2,Red,,Pending Assignment,Pending
S075,2,Red,,Pending Assignment,Pending
S076,2,Red,,Pending Assignment,Pending
S077,2,Red,,Pending Assignment,Pending
S078,2,Red,,Pending Assignment,Pending
S079,2,Yellow,,Pending Assignment,Pending
S080,2,Red,,Pending Assignment,Pending
S081,0,Yellow,,Pending Assignment,Pending
S082,0,Yellow,,Pending Assignment,Pending
S083,0,Blue,,Pending Assignment,Pending
S084,0,Yellow,,Pending Assignment,Pending
S085,0,Yellow,,Pending Assignment,Pending
S086,0,Yellow,,Pending Assignment,Pending
S087,0,Yellow,,Pending Assignment,Pending
S088,0,Yellow,,Pending Assignment,Pending
S089,0,Yellow,,Pending Assignment,Pending
S090,0,Yellow,,Pending Assignment,Pending
S091,0,Yellow,,Pending Assignment,Pending
S092,0,Yellow,,Pending Assignment,Pending
S093,0,Yellow,,Pending Assignment,Pending
S094,0,Yellow,,Pending Assignment,Pending
S095,0,Yellow,,Pending Assignment,Pending
S096,0,Yellow,,Pending Assignment,Pending
S097,0,Yellow,,Pending Assignment,Pending
S098,0,Yellow,,Pending Assignment,Pending
S099,0,Yellow,,Pending Assignment,Pending
S100,0,Yellow,,Pending Assignment,Pending
S101,0,Yellow,,Pending Assignment,Pending
S102,0,Yellow,,Pending Assignment,Pending
S103,0,Yellow,,Pending Assignment,Pending
S104,0,Yellow,,Pending Assignment,Pending
S105,0,Yellow,,Pending Assignment,Pending
S106,0,Yellow,,Pending Assignment,Pending
S107,0,Yellow,,Pending Assignment,Pending
S108,0,Yellow,,Pending Assignment,Pending
S109,0,Yellow,,Pending Assignment,Pending
S110,0,Yellow,,Pending Assignment,Pending
S111,0,Yellow,,Pending Assignment,Pending
S112,0,Blue,,Pending Assignment,Pending
S113,0,Blue,,Pending Assignment,Pending
S114,0,Yellow,,Pending Assignment,Pending
S115,0,Blue,,Pending Assignment,Pending
S116,0,Yellow,,Pending Assignment,Pending
S117,0,Yellow,,Pending Assignment,Pending
S118,0,Yellow,,Pending Assignment,Pending
S119,0,Yellow,,Pending Assignment,Pending
S120,0,Yellow,,Pending Assignment,Pending
S121,1,Red,,Pending Assignment,Pending
S122,1,Yellow,,Pending Assignment,Pending
S123,1,Yellow,,Pending Assignment,Pending
S124,1,Red,,Pending Assignment,Pending
S125,1,Red,,Pending Assignment,Pending
S126,1,Yellow,,Pending Assignment,Pending
S127,1,Red,,Pending Assignment,Pending
S128,1,Red,,Pending Assignment,Pending
S129,1,Red,,Pending Assignment,Pending
S130,1,Yellow,,Pending Assignment,Pending
S131,1,Red,,Pending Assignment,Pending
S132,1,Red,,Pending Assignment,Pending
S133,1,Red,,Pending Assignment,Pending
S134,1,Red,,Pending Assignment,Pending
S135,1,Red,,Pending Assignment,Pending
S136,1,Red,,Pending Assignment,Pending
S137,1,Red,,Pending Assignment,Pending
S138,1,Yellow,,Pending Assignment,Pending
S139,1,Yellow,,Pending Assignment,Pending
S140,1,Red,,Pending Assignment,Pending
S141,1,Red,,Pending Assignment,Pending
S142,1,Red,,Pending Assignment,Pending
S143,1,Red,,Pending Assignment,Pending
S144,1,Red,,Pending Assignment,Pending
S145,1,Red,,Pending Assignment,Pending
S146,1,Yellow,,Pending Assignment,Pending
S147,1,Red,,Pending Assignment,Pending
S148,1,Red,,Pending Assignment,Pending
S149,1,Yellow,,Pending Assignment,Pending
S150,1,Red,,Pending Assignment,Pending
S151,1,Yellow,,Pending Assignment,Pending
S152,1,Yellow,,Pending Assignment,Pending
S153,1,Red,,Pending Assignment,Pending
S154,1,Yellow,,Pending Assignment,Pending
S155,1,Red,,Pending Assignment,Pending
S156,1,Red,,Pending Assignment,Pending
S157,1,Yellow,,Pending Assignment,Pending
S158,1,Red,,Pending Assignment,Pending
S159,1,Red,,Pending Assignment,Pending
S160,1,Yellow,,Pending Assignment,Pending
S161,0,Blue,,Pending Assignment,Pending
S162,0,Blue,,Pending Assignment,Pending
S163,0,Blue,,Pending Assignment,Pending
S164,0,Blue,,Pending Assignment,Pending
S165,0,Blue,,Pending Assignment,Pending
S166,0,Blue,,Pending Assignment,Pending
S167,0,Blue,,Pending Assignment,Pending
S168,0,Blue,,Pending Assignment,Pending
S169,0,Blue,,Pending Assignment,Pending
S170,0,Blue,,Pending Assignment,Pending
S171,0,Blue,,Pending Assignment,Pending
S172,0,Blue,,Pending Assignment,Pending
S173,0,Blue,,Pending Assignment,Pending
S174,0,Blue,,Pending Assignment,Pending
S175,0,Blue,,Pending Assignment,Pending
S176,0,Green,,Pending Assignment,Pending
S177,0,Blue,,Pending Assignment,Pending
S178,0,Blue,,Pending Assignment,Pending
S179,0,Blue,,Pending Assignment,Pending
S180,0,Blue,,Pending Assignment,Pending
S181,0,Blue,,Pending Assignment,Pending
S182,0,Blue,,Pending Assignment,Pending
S183,0,Blue,,Pending Assignment,Pending
S184,0,Blue,,Pending Assignment,Pending
S185,0,Blue,,Pending Assignment,Pending
S186,0,Blue,,Pending Assignment,Pending
S187,0,Blue,,Pending Assignment,Pending
S188,0,Blue,,Pending Assignment,Pending
S189,0,Blue,,Pending Assignment,Pending
S190,0,Blue,,Pending Assignment,Pending
S191,0,Blue,,Pending Assignment,Pending
S192,0,Blue,,Pending Assignment,Pending
S193,0,Blue,,Pending Assignment,Pending
S194,0,Blue,,Pending Assignment,Pending
S195,0,Blue,,Pending Assignment,Pending
S196,0,Blue,,Pending Assignment,Pending
S197,0,Blue,,Pending Assignment,Pending
S198,0,Blue,,Pending Assignment,Pending
S199,0,Blue,,Pending Assignment,Pending
S200,0,Blue,,Pending Assignment,Pending
