student_id,cluster,risk_category,mentor_id,mentor_name,mentor_expertise,intervention,assignment_status,alert
S083,0,Blue,,Pending Assignment,career,Career Direction,Pending,False
S084,0,Yellow,,Pending Assignment,career,Career Direction,Pending,False
S085,0,Yellow,,Pending Assignment,career,Career Direction,Pending,False
S086,0,Yellow,,Pending Assignment,career,Career Direction,Pending,False
S087,0,Yellow,,Pending Assignment,career,Career Direction,Pending,False
S088,0,Yellow,,Pending Assignment,career,Career Direction,Pending,False
S089,0,Yellow,,Pending Assignment,career,Career Direction,Pending,False
S090,0,Yellow,,Pending Assignment,career,Career Direction,Pending,False
S091,0,Yellow,,Pending Assignment,career,Career Direction,Pending,False
S092,0,Yellow,,Pending Assignment,career,Career Direction,Pending,False
S093,0,Yellow,,Pending Assignment,career,Career Direction,Pending,False
S094,0,Yellow,,Pending Assignment,career,Career Direction,Pending,False
S095,0,Yellow,,Pending Assignment,career,Career Direction,Pending,False
S096,0,Yellow,,Pending Assignment,career,Career Direction,Pending,False
S097,0,Yellow,,Pending Assignment,career,Career Direction,Pending,False
S098,0,Yellow,,Pending Assignment,career,Career Direction,Pending,False
S099,0,Yellow,,Pending Assignment,career,Career Direction,Pending,False
S100,0,Yellow,,Pending Assignment,career,Career Direction,Pending,False
S101,0,Yellow,,Pending Assignment,career,Career Direction,Pending,False
S102,0,Yellow,,Pending Assignment,career,Career Direction,Pending,False
S103,0,Yellow,,Pending Assignment,career,Career Direction,Pending,False
S104,0,Yellow,,Pending Assignment,career,Career Direction,Pending,False
S105,0,Yellow,,Pending Assignment,career,Career Direction,Pending,False
S106,0,Yellow,,Pending Assignment,career,Career Direction,Pending,False
S107,0,Yellow,,Pending Assignment,career,Career Direction,Pending,False
S108,0,Yellow,,Pending Assignment,career,Career Direction,Pending,False
S109,0,Yellow,,Pending Assignment,career,Career Direction,Pending,False
S110,0,Yellow,,Pending Assignment,career,Career Direction,Pending,False
S111,0,Yellow,,Pending Assignment,career,Career Direction,Pending,False
S112,0,Blue,,Pending Assignment,career,Career Direction,Pending,False
S113,0,Blue,,Pending Assignment,career,Career Direction,Pending,False
S114,0,Yellow,,Pending Assignment,career,Career Direction,Pending,False
S115,0,Blue,,Pending Assignment,career,Career Direction,Pending,False
S116,0,Yellow,,Pending Assignment,career,Career Direction,Pending,False
S117,0,Yellow,,Pending Assignment,career,Career Direction,Pending,False
S118,0,Yellow,,Pending Assignment,career,Career Direction,Pending,False
S119,0,Yellow,,Pending Assignment,career,Career Direction,Pending,False
S120,0,Yellow,,Pending Assignment,career,Career Direction,Pending,False
S121,1,Red,,Pending Assignment,career,Career Direction & Productivity Coaching,Pending,True
S122,1,Yellow,,Pending Assignment,career,Career Direction & Productivity Coaching,Pending,False
S123,1,Yellow,,Pending Assignment,career,Career Direction & Productivity Coaching,Pending,False
S124,1,Red,,Pending Assignment,career,Career Direction & Productivity Coaching,Pending,True
S125,1,Red,,Pending Assignment,career,Career Direction & Productivity Coaching,Pending,True
S126,1,Yellow,,Pending Assignment,career,Career Direction & Productivity Coaching,Pending,False
S127,1,Red,,Pending Assignment,career,Career Direction & Productivity Coaching,Pending,True
S128,1,Red,,Pending Assignment,career,Career Direction & Productivity Coaching,Pending,True
S129,1,Red,,Pending Assignment,career,Career Direction & Productivity Coaching,Pending,True
S130,1,Yellow,,Pending Assignment,career,Career Direction & Productivity Coaching,Pending,False
S131,1,Red,,Pending Assignment,career,Career Direction & Productivity Coaching,Pending,True
S132,1,Red,,Pending Assignment,career,Career Direction & Productivity Coaching,Pending,True
S133,1,Red,,Pending Assignment,career,Career Direction & Productivity Coaching,Pending,True
S134,1,Red,,Pending Assignment,career,Career Direction & Productivity Coaching,Pending,True
S135,1,Red,,Pending Assignment,career,Career Direction & Productivity Coaching,Pending,True
S136,1,Red,,Pending Assignment,career,Career Direction & Productivity Coaching,Pending,True
S137,1,Red,,Pending Assignment,career,Career Direction & Productivity Coaching,Pending,True
S138,1,Yellow,,Pending Assignment,career,Career Direction & Productivity Coaching,Pending,False
S139,1,Yellow,,Pending Assignment,career,Career Direction & Productivity Coaching,Pending,False
S140,1,Red,,Pending Assignment,career,Career Direction & Productivity Coaching,Pending,True
S141,1,Red,,Pending Assignment,career,Career Direction & Productivity Coaching,Pending,True
S142,1,Red,,Pending Assignment,career,Career Direction & Productivity Coaching,Pending,True
S143,1,Red,,Pending Assignment,career,Career Direction & Productivity Coaching,Pending,True
S144,1,Red,,Pending Assignment,career,Career Direction & Productivity Coaching,Pending,True
S145,1,Red,,Pending Assignment,career,Career Direction & Productivity Coaching,Pending,True
S146,1,Yellow,,Pending Assignment,career,Career Direction & Productivity Coaching,Pending,False
S147,1,Red,,Pending Assignment,career,Career Direction & Productivity Coaching,Pending,True
S148,1,Red,,Pending Assignment,career,Career Direction & Productivity Coaching,Pending,True
S149,1,Yellow,,Pending Assignment,career,Career Direction & Productivity Coaching,Pending,False
S150,1,Red,,Pending Assignment,career,Career Direction & Productivity Coaching,Pending,True
S151,1,Yellow,,Pending Assignment,career,Career Direction & Productivity Coaching,Pending,False
S152,1,Yellow,,Pending Assignment,career,Career Direction & Productivity Coaching,Pending,False
S153,1,Red,,Pending Assignment,career,Career Direction & Productivity Coaching,Pending,True
S154,1,Yellow,,Pending Assignment,career,Career Direction & Productivity Coaching,Pending,False
S155,1,Red,,Pending Assignment,career,Career Direction & Productivity Coaching,Pending,True
S156,1,Red,,Pending Assignment,career,Career Direction & Productivity Coaching,Pending,True
S157,1,Yellow,,Pending Assignment,career,Career Direction & Productivity Coaching,Pending,False
S158,1,Red,,Pending Assignment,career,Career Direction & Productivity Coaching,Pending,True
S159,1,Red,,Pending Assignment,career,Career Direction & Productivity Coaching,Pending,True
S160,1,Yellow,,Pending Assignment,career,Career Direction & Productivity Coaching,Pending,False
S161,0,Blue,,Pending Assignment,career,Career Direction,Pending,False
S162,0,Blue,,Pending Assignment,career,Career Direction,Pending,False
S163,0,Blue,,Pending Assignment,career,Career Direction,Pending,False
S164,0,Blue,,Pending Assignment,career,Career Direction,Pending,False
S165,0,Blue,,Pending Assignment,career,Career Direction,Pending,False
S166,0,Blue,,Pending Assignment,career,Career Direction,Pending,False
S167,0,Blue,,Pending Assignment,career,Career Direction,Pending,False
S168,0,Blue,,Pending Assignment,career,Career Direction,Pending,False
S169,0,Blue,,Pending Assignment,career,Career Direction,Pending,False
S170,0,Blue,,Pending Assignment,career,Career Direction,Pending,False
S171,0,Blue,,Pending Assignment,career,Career Direction,Pending,False
S172,0,Blue,,Pending Assignment,career,Career Direction,Pending,False
S173,0,Blue,,Pending Assignment,career,Career Direction,Pending,False
S174,0,Blue,,Pending Assignment,career,Career Direction,Pending,False
S175,0,Blue,,Pending Assignment,career,Career Direction,Pending,False
S176,0,Green,,Pending Assignment,career,Career Direction,Pending,False
S177,0,Blue,,Pending Assignment,career,Career Direction,Pending,False
S178,0,Blue,,Pending Assignment,career,Career Direction,Pending,False
S179,0,Blue,,Pending Assignment,career,Career Direction,Pending,False
S180,0,Blue,,Pending Assignment,career,Career Direction,Pending,False
S181,0,Blue,,Pending Assignment,career,Career Direction,Pending,False
S182,0,Blue,,Pending Assignment,career,Career Direction,Pending,False
S183,0,Blue,,Pending Assignment,career,Career Direction,Pending,False
S184,0,Blue,,Pending Assignment,career,Career Direction,Pending,False
S185,0,Blue,,Pending Assignment,career,Career Direction,Pending,False
S186,0,Blue,,Pending Assignment,career,Career Direction,Pending,False
S187,0,Blue,,Pending Assignment,career,Career Direction,Pending,False
S188,0,Blue,,Pending Assignment,career,Career Direction,Pending,False
S189,0,Blue,,Pending Assignment,career,Career Direction,Pending,False
S190,0,Blue,,Pending Assignment,career,Career Direction,Pending,False
S191,0,Blue,,Pending Assignment,career,Career Direction,Pending,False
S192,0,Blue,,Pending Assignment,career,Career Direction,Pending,False
S193,0,Blue,,Pending Assignment,career,Career Direction,Pending,False
S194,0,Blue,,Pending Assignment,career,Career Direction,Pending,False
S195,0,Blue,,Pending Assignment,career,Career Direction,Pending,False
S196,0,Blue,,Pending Assignment,career,Career Direction,Pending,False
S197,0,Blue,,Pending Assignment,career,Career Direction,Pending,False
S198,0,Blue,,Pending Assignment,career,Career Direction,Pending,False
S199,0,Blue,,Pending Assignment,career,Career Direction,Pending,False
S200,0,Blue,,Pending Assignment,career,Career Direction,Pending,False
